name,linkedin_company_url
Firecrawl,https://www.linkedin.com/company/firecrawl
Forage AI,https://www.linkedin.com/company/forageai
Godel Terminal,https://www.linkedin.com/company/godelterminal
Kadoa,https://www.linkedin.com/company/kadoa
Parsym,https://www.linkedin.com/company/parasym
Catalyst,https://www.linkedin.com/company/polygon-com
Checkmake Research,https://www.linkedin.com/company/sovai
Clifton AI,https://www.linkedin.com/company/string-ai
Complexiti,https://www.linkedin.com/company/twelvedata
Compound,https://www.linkedin.com/company/vianexus
